GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0033365	protein localization to organelle	7.56e-05	7.56e-05	1	ATRX,EZH2,RPL5,SOX9,BRCA2,RB1,TP53,PIK3R1,EGFR,ATR,LRRK2,NF1,MTOR
GO:0034502	protein localization to chromosome	4.70e-04	4.70e-04	1	ATRX,EZH2,BRCA2,RB1,ATR
GO:0070198	protein localization to chromosome, telomeric region	3.54e-02	3.54e-02	1	ATRX,BRCA2,ATR
GO:0009790	embryo development	9.50e-03	9.50e-03	1	BRCA1,SOX9,FOXA1,PDGFRA,BRCA2,EGFR,KDM6A,ATM,KIT,SETD2,NF1
GO:0009792	embryo development ending in birth or egg hatching	6.83e-03	6.83e-03	1	BRCA1,FOXA1,PDGFRA,BRCA2,EGFR,KDM6A,ATM,SETD2,NF1
GO:0043009	chordate embryonic development	6.36e-03	6.36e-03	1	BRCA1,FOXA1,PDGFRA,BRCA2,EGFR,KDM6A,ATM,SETD2,NF1
GO:0048646	anatomical structure formation involved in morphogenesis	1.52e-03	1.52e-03	1	BRCA1,PIK3CG,PIK3CA,SOX9,FOXA1,PDGFRA,KDM6A,ATM,PTEN,PTPN11,SETD2,NF1
GO:0009611	response to wounding	1.94e-04	1.94e-04	1	PIK3CG,EZH2,PIK3CA,PDGFRA,PIK3R1,EGFR,BRAF,PTEN,PTPN11,NF1,MTOR
GO:0042060	wound healing	3.82e-03	3.82e-03	1	PIK3CG,EZH2,PIK3CA,PDGFRA,PIK3R1,EGFR,PTPN11,NF1,MTOR
GO:0014070	response to organic cyclic compound	9.54e-06	9.54e-06	1	BRCA1,PIK3CG,EZH2,FLT3,FOXA1,IDH1,RB1,EGFR,TAF1,BRAF,PTEN,CHEK2,LRRK2,MTOR
GO:0033993	response to lipid	3.77e-03	3.77e-03	1	BRCA1,EPHA3,EZH2,FLT3,SOX9,FOXA1,IDH1,RB1,EGFR,TAF1,PTEN
