GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0030163	protein catabolic process	4.99e-02	4.99e-02	1	NFE2L2,USP9X,APC,TP53,EGFR,TAF1,BAP1,PTEN,LRRK2,MTOR
GO:0033365	protein localization to organelle	2.03e-02	2.03e-02	1	ATRX,RPL5,BRCA2,TP53,EGFR,BAP1,ATR,ERBB4,LRRK2,NF1,MTOR
GO:0071514	genetic imprinting	4.90e-02	4.90e-02	1	BRCA1,DNMT3A,PIK3CA
GO:0042326	negative regulation of phosphorylation	1.46e-02	1.46e-02	1	MECOM,PPP2R1A,APC,CDKN2A,PTEN,LRRK2,NF1,MTOR
GO:0032269	negative regulation of cellular protein metabolic process	4.71e-02	4.71e-02	1	BRCA1,MECOM,PPP2R1A,APC,EGFR,TAF1,CDKN2A,PTEN,LRRK2,NF1,MTOR
GO:0031400	negative regulation of protein modification process	2.25e-03	2.25e-03	1	BRCA1,MECOM,PPP2R1A,APC,TAF1,CDKN2A,PTEN,LRRK2,NF1,MTOR
GO:0001933	negative regulation of protein phosphorylation	7.71e-03	7.71e-03	1	MECOM,PPP2R1A,APC,CDKN2A,PTEN,LRRK2,NF1,MTOR
GO:0051321	meiotic cell cycle	3.55e-02	3.55e-02	1	ATRX,STAG2,PPP2R1A,SMC3,BRCA2,ATM
GO:0042327	positive regulation of phosphorylation	3.91e-03	3.91e-03	1	FGFR3,MAP3K1,PIK3CA,PDGFRA,ACVR1B,TP53,EGFR,ATM,PTEN,ERBB4,LRRK2,MTOR
GO:0001934	positive regulation of protein phosphorylation	2.45e-03	2.45e-03	1	FGFR3,MAP3K1,PIK3CA,PDGFRA,ACVR1B,TP53,EGFR,ATM,PTEN,ERBB4,LRRK2,MTOR
GO:0002520	immune system development	1.12e-03	1.12e-03	1	POLQ,MECOM,EP300,NFE2L2,ACVR1B,BRCA2,CDKN2A,NOTCH1,ATM,TET2,NF1,MTOR
GO:0048534	hematopoietic or lymphoid organ development	4.95e-03	4.95e-03	1	MECOM,EP300,NFE2L2,ACVR1B,BRCA2,CDKN2A,NOTCH1,ATM,TET2,NF1,MTOR
GO:0030097	hemopoiesis	3.00e-03	3.00e-03	1	MECOM,EP300,NFE2L2,ACVR1B,BRCA2,CDKN2A,NOTCH1,ATM,TET2,NF1,MTOR
GO:0018209	peptidyl-serine modification	6.66e-03	6.66e-03	1	PIK3CA,TAF1,ATM,NSD1,ATR,LRRK2,MTOR
GO:0018105	peptidyl-serine phosphorylation	4.77e-03	4.77e-03	1	PIK3CA,TAF1,ATM,NSD1,ATR,LRRK2,MTOR
GO:1902532	negative regulation of intracellular signal transduction	2.59e-02	2.59e-02	1	MECOM,PPP2R1A,NFE2L2,ATM,ARHGAP35,PTEN,LRRK2,NF1
GO:0014070	response to organic cyclic compound	2.33e-02	2.33e-02	1	BRCA1,EP300,ARID1A,DNMT3A,EGFR,TAF1,NOTCH1,TET2,PTEN,LRRK2,MTOR
GO:0046777	protein autophosphorylation	1.76e-08	1.76e-08	1	FGFR3,PDGFRA,ACVR1B,EGFR,TAF1,ATM,CDK12,ATR,ERBB4,LRRK2,MTOR
GO:0040007	growth	2.02e-06	2.02e-06	1	FGFR3,ATRX,PPP2R1A,PIK3CA,USP9X,ACVR1B,BRCA2,TP53,EGFR,KDM6A,CDKN2A,NOTCH1,BAP1,PTEN,ERBB4,MTOR
GO:0048589	developmental growth	2.93e-03	2.93e-03	1	FGFR3,ATRX,PIK3CA,USP9X,BRCA2,KDM6A,NOTCH1,PTEN,ERBB4,MTOR
GO:0040008	regulation of growth	8.96e-05	8.96e-05	1	FGFR3,PPP2R1A,PIK3CA,ACVR1B,TP53,EGFR,CDKN2A,NOTCH1,BAP1,PTEN,ERBB4,MTOR
GO:0060537	muscle tissue development	5.51e-03	5.51e-03	1	EP300,ARID1A,PDGFRA,NOTCH1,PTEN,ERBB4,NF1,MTOR
GO:0014706	striated muscle tissue development	4.21e-03	4.21e-03	1	EP300,ARID1A,PDGFRA,NOTCH1,PTEN,ERBB4,NF1,MTOR
GO:0045926	negative regulation of growth	4.63e-02	4.63e-02	1	FGFR3,PPP2R1A,ACVR1B,TP53,CDKN2A,PTEN
GO:0072359	circulatory system development	1.38e-06	1.38e-06	1	BRCA1,EP300,NFE2L2,ARID1A,PIK3CA,PDGFRA,EGFR,KDM6A,NOTCH1,ATM,ASXL1,PTEN,ERBB4,SETD2,NF1,MTOR
GO:0072358	cardiovascular system development	4.78e-03	4.78e-03	1	BRCA1,NFE2L2,ARID1A,PIK3CA,PDGFRA,KDM6A,NOTCH1,PTEN,SETD2,NF1
GO:0007507	heart development	5.68e-07	5.68e-07	1	EP300,ARID1A,PDGFRA,EGFR,KDM6A,NOTCH1,ATM,ASXL1,PTEN,ERBB4,SETD2,NF1,MTOR
GO:0048738	cardiac muscle tissue development	1.18e-02	1.18e-02	1	ARID1A,PDGFRA,NOTCH1,PTEN,ERBB4,MTOR
GO:0035051	cardiocyte differentiation	2.25e-02	2.25e-02	1	ARID1A,PDGFRA,EGFR,NOTCH1,MTOR
GO:0001944	vasculature development	3.22e-02	3.22e-02	1	BRCA1,NFE2L2,ARID1A,PIK3CA,PDGFRA,NOTCH1,PTEN,SETD2,NF1
GO:0001568	blood vessel development	2.41e-02	2.41e-02	1	BRCA1,NFE2L2,ARID1A,PIK3CA,PDGFRA,NOTCH1,PTEN,SETD2,NF1
GO:0055017	cardiac muscle tissue growth	3.71e-02	3.71e-02	1	NOTCH1,PTEN,ERBB4,MTOR
GO:0060420	regulation of heart growth	1.35e-02	1.35e-02	1	NOTCH1,PTEN,ERBB4,MTOR
GO:0055024	regulation of cardiac muscle tissue development	3.09e-02	3.09e-02	1	NOTCH1,PTEN,ERBB4,MTOR
GO:0055021	regulation of cardiac muscle tissue growth	8.22e-03	8.22e-03	1	NOTCH1,PTEN,ERBB4,MTOR
GO:0000122	negative regulation of transcription from RNA polymerase II promoter	4.42e-04	4.42e-04	1	ATRX,EP300,ARID1A,DNMT3A,TSHZ3,USP9X,VHL,TP53,NOTCH1,ARHGAP35,NSD1,ASXL1
GO:0023014	signal transduction by protein phosphorylation	3.29e-03	3.29e-03	1	FGFR3,MECOM,MAP3K1,PPP2R1A,PDGFRA,ACVR1B,EGFR,CDK12,PTEN,ERBB4,LRRK2,NF1
GO:0000165	MAPK cascade	1.44e-02	1.44e-02	1	FGFR3,MECOM,MAP3K1,PPP2R1A,PDGFRA,EGFR,CDK12,PTEN,ERBB4,LRRK2,NF1
GO:0043408	regulation of MAPK cascade	1.25e-03	1.25e-03	1	FGFR3,MECOM,MAP3K1,PPP2R1A,PDGFRA,EGFR,CDK12,PTEN,ERBB4,LRRK2,NF1
GO:0080135	regulation of cellular response to stress	3.05e-05	3.05e-05	1	BRCA1,POLQ,MECOM,EP300,NFE2L2,EGFR,CDKN2A,ATM,PTEN,ATR,LRRK2,MTOR
GO:0043620	regulation of DNA-templated transcription in response to stress	2.99e-05	2.99e-05	1	EP300,NFE2L2,VHL,TP53,TAF1,NOTCH1
GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	1.88e-05	1.88e-05	1	EP300,NFE2L2,VHL,TP53,TAF1,NOTCH1
GO:0036003	positive regulation of transcription from RNA polymerase II promoter in response to stress	3.79e-02	3.79e-02	1	NFE2L2,TP53,NOTCH1
GO:0003006	developmental process involved in reproduction	7.17e-05	7.17e-05	1	ATRX,PPP2R1A,ARID1A,PDGFRA,ACVR1B,BRCA2,EGFR,NOTCH1,ATM,PTEN,SETD2,MTOR
GO:0061458	reproductive system development	1.63e-02	1.63e-02	1	ATRX,ARID1A,PDGFRA,BRCA2,EGFR,NOTCH1,PTEN,SETD2
GO:0048608	reproductive structure development	1.49e-02	1.49e-02	1	ATRX,ARID1A,PDGFRA,BRCA2,EGFR,NOTCH1,PTEN,SETD2
GO:0009991	response to extracellular stimulus	1.89e-02	1.89e-02	1	NFE2L2,DNMT3A,TP53,EGFR,ARHGAP35,PTEN,LRRK2,MTOR
