GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0042326	negative regulation of phosphorylation	1.96e-03	1.96e-03	1	DCN,TRIB2,FBLN1,ABL1,TIMP3,SFRP1,CAV1,ASPN,PDE4D,ERRFI1,RGS4,DUSP1,INHBA,TWIST1,PMEPA1,BMP4,LRRC4B,PODNL1,SPRY2,SLIT2,SFRP2,LRRC4C,LATS2,PID1,THY1,SPRY1,DACT1,SPRED1,GREM1,PKIA,SOCS5,LRRC15,PODN,MYADM,BGN,NOG,FLRT2,ENPP1,SPRED2
GO:0001933	negative regulation of protein phosphorylation	4.93e-04	4.93e-04	1	DCN,TRIB2,FBLN1,ABL1,TIMP3,SFRP1,CAV1,ASPN,PDE4D,ERRFI1,RGS4,DUSP1,TWIST1,PMEPA1,BMP4,LRRC4B,PODNL1,SPRY2,SLIT2,SFRP2,LRRC4C,LATS2,PID1,THY1,SPRY1,DACT1,SPRED1,GREM1,PKIA,SOCS5,LRRC15,PODN,MYADM,BGN,NOG,FLRT2,ENPP1,SPRED2
GO:0050673	epithelial cell proliferation	3.86e-08	3.86e-08	1	IGF1,SNAI2,FLT4,PTPRN,NGFR,FAP,LAMB1,SFRP1,CDK6,CAV1,SEMA5A,SPARC,F3,NRP2,PGF,TEK,NR4A1,BMP4,BMP2,KDR,LOXL2,THBS1,FGF7,EPHA2,ECM1,SFRP2,CASK,VEGFC,BMP6,FZD7,KRT4,MCC,SCG2,EGFL7,CD34,SOX11,EGR3
GO:0001935	endothelial cell proliferation	2.14e-05	2.14e-05	1	FLT4,NGFR,CAV1,SEMA5A,SPARC,F3,NRP2,PGF,TEK,NR4A1,BMP4,BMP2,KDR,LOXL2,THBS1,ECM1,VEGFC,SCG2,EGFL7,CD34,EGR3
GO:0050678	regulation of epithelial cell proliferation	1.93e-07	1.93e-07	1	IGF1,SNAI2,FLT4,PTPRN,NGFR,LAMB1,SFRP1,CDK6,CAV1,SEMA5A,SPARC,F3,NRP2,PGF,TEK,NR4A1,BMP4,BMP2,KDR,THBS1,FGF7,ECM1,SFRP2,CASK,VEGFC,BMP6,FZD7,KRT4,MCC,SCG2,EGFL7,SOX11,EGR3
GO:0001936	regulation of endothelial cell proliferation	6.56e-05	6.56e-05	1	FLT4,NGFR,CAV1,SEMA5A,SPARC,F3,NRP2,PGF,TEK,NR4A1,BMP4,BMP2,KDR,THBS1,ECM1,VEGFC,SCG2,EGFL7,EGR3
GO:0050679	positive regulation of epithelial cell proliferation	8.39e-06	8.39e-06	1	IGF1,FLT4,PTPRN,LAMB1,SFRP1,SEMA5A,F3,NRP2,PGF,TEK,NR4A1,BMP4,BMP2,KDR,FGF7,ECM1,VEGFC,BMP6,FZD7,SCG2,EGFL7,SOX11,EGR3
GO:0001938	positive regulation of endothelial cell proliferation	2.02e-04	2.02e-04	1	FLT4,SEMA5A,F3,NRP2,PGF,TEK,NR4A1,BMP4,BMP2,KDR,ECM1,VEGFC,SCG2,EGFL7,EGR3
GO:0050920	regulation of chemotaxis	3.26e-02	3.26e-02	1	SERPINE1,RARRES2,CXCL12,SEMA5A,FGF1,PDGFRB,F3,PGF,EDN2,KDR,PDGFRA,CCL21,THBS1,SLIT2,VEGFC,NBL1,JAM3,GREM1,SCG2,ROBO2
GO:1904893	negative regulation of STAT cascade	1.19e-02	1.19e-02	1	DCN,CAV1,ASPN,LRRC4B,PODNL1,LRRC4C,SOCS5,LRRC15,PODN,BGN,FLRT2
